Артикул;Ozon Product ID;SKU;Barcode;Название товара;Контент-рейтинг;Бренд;Статус товара;Метки;Отзывы;Рейтинг;Видимость на Ozon;Причины скрытия;Дата создания;Категория;Тип;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
Glass_Pink_4670;84564142;935154089;9085280705160;Чехол для Samsung Galaxy S24+ KZDOO iCoat, фиолетовый чехол для Самсунг S24 Плюс (S24 Plus);'70;KZDOO;Продается;;0;'4.30;Показывается;;06.07.2024 9:15;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;0;0;0;5180.0;11990.0;;0%
Cover_Red_7826;68694298;683956245;5832255008442;Чехол для Samsung Galaxy S24+ KZDOO iCoat, синий чехол для Самсунг S24 Плюс (S24 Plus);'70;KZDOO;Продается;;1;'4.30;Показывается;;06.07.2024 9:15;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;5648.0;11990.0;;0%
Accessory_Green_6356;51576702;718837264;5809963812207;Чехол для iPhone 15 Pro Max с держателем Keephone Heldro Sky, разноцветный противоударный чехол для Айфон 15 Про Макс;'70;KEEPHONE;Готов к продаже;;8;'4.80;Показывается;;27.07.2024 11:49;Чехлы;Чехол для смартфона;'0.38;'0.1;0;0;0;0;0;3500.0;5290.0;;0%
Cover_Titanium_5408;69603096;804286087;RND331943154;Чехол для Samsung Galaxy S23 Ultra ультратонкий KZDOO Air Carbon с защитой камер, фиолетовый супертонкий чехол для Самсунг Галакси S23 Ультра;'70;KZDOO;Продается;;5;'4.70;Показывается;;19.08.2024 11:19;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;0;0;0;3980.0;11990.0;;0%
Battery_Blue_9393;46198191;923991646;RND823416829;Чехол для Samsung Galaxy S23 Ultra ультратонкий KZDOO Air Carbon с защитой камер, зеленый супертонкий чехол для Самсунг Галакси S23 Ультра;'70;KZDOO;Продается;;17;'4.70;Показывается;;19.08.2024 11:22;Чехлы;Чехол для смартфона;'0.36;'0.1;5;0;10;0;0;3980.0;11990.0;;0%
Adapter_Titanium_4017;27593627;436449965;6669617187527;Ультратонкий чехол на Айфон 16 Про Air Skin с защитой камер, черный чехол для iPhone 16 Pro;'77.5;KZDOO;Продается;;75;'4.80;Показывается;;16.09.2024 8:53;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;7;0;0;3100.0;11990.0;;0%
Accessory_Red_5621;25803789;782187014;9354338822307;Ультратонкий чехол на Айфон 16 Про Air Skin с защитой камер, прозрачный чехол для iPhone 16 Pro;'77.5;KZDOO;Продается;;190;'4.80;Показывается;;16.09.2024 8:56;Чехлы;Чехол для смартфона;'0.36;'0.1;169;2;10;0;0;4980.0;11990.0;;0%
Case_Red_5097;51916754;896572738;5382253016533;Ультратонкий чехол на Айфон 16 Про Air Skin с защитой камер, серый чехол для iPhone 16 Pro;'77.5;KZDOO;Продается;;12;'4.80;Показывается;;16.09.2024 9:00;Чехлы;Чехол для смартфона;'0.36;'0.1;9;0;8;0;0;3100.0;11990.0;;0%
Battery_White_5078;20117877;463009122;RND217487312;Ультратонкий чехол на Айфон 16 Про Air Skin с защитой камер, зеленый чехол для iPhone 16 Pro;'77.5;KZDOO;Продается;;17;'4.80;Показывается;;16.09.2024 9:02;Чехлы;Чехол для смартфона;'1.65;'0.3;13;0;10;0;0;3100.0;11990.0;;0%
Battery_Red_1250;57603921;924962704;RND477753063;Ультратонкий чехол на Айфон 16 Про Air Skin с защитой камер, розовый чехол для iPhone 16 Pro;'77.5;KZDOO;Готов к продаже;;24;'4.80;Показывается;;16.09.2024 9:05;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;1550.0;11990.0;;0%
Cover_Pink_9351;96649912;326900214;7977937018999;Ультратонкий чехол на Айфон 16 Про Air Skin с защитой камер, фиолетовый чехол для iPhone 16 Pro;'77.5;KZDOO;Готов к продаже;;0;'4.80;Показывается;;16.09.2024 9:07;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;1550.0;2090.0;;0%
